og_sentence,sentence,Agent,Issue,Side,Position,Frequency,Time,Place,Support_rate,target_span
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,Bernie Sanders voted against the money that ended up saving the auto industry because he was against the auto bailout.,"(0, 14)","(29, 77)",,"(21, 28)",,,,,"(15, 20)"
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,"The money that ended up saving the auto industry was voted against by Bernie Sanders, who was against the auto bailout.","(70, 84)","(0, 48)",,"(59, 66)",,,,,"(53, 58)"
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,The money that ended up saving the auto industry was what Bernie Sanders was against and voted against.,"(58, 72)","(0, 48)",,"(77, 84)",,,,,"(89, 94)"
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,"Against the money that ended up saving the auto industry, Bernie Sanders was against and voted.","(58, 72)","(8, 56)",,"(0, 7)",,,,,"(89, 94)"
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,"Against the money that ended up saving the auto industry, Bernie Sanders was against the auto bailout and voted.","(58, 72)","(8, 56)",,"(0, 7)",,,,,"(106, 111)"
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,"He voted against creating a House panel to investigate Planned Parenthood, despite being the only Republican.","(0, 2)","(17, 73)",,"(9, 16)",,,,,"(3, 8)"
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,"Creating a House panel to investigate Planned Parenthood, he was the only Republican to vote against.","(58, 60)","(0, 56)",,"(93, 100)",,,,,"(88, 92)"
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,"Creating a House panel to investigate Planned Parenthood was voted against by him, the only Republican.","(84, 86)","(0, 56)",,"(67, 74)",,,,,"(61, 66)"
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,"Against creating a House panel to investigate Planned Parenthood, he was the only Republican to vote.","(66, 68)","(8, 64)",,"(0, 7)",,,,,"(96, 100)"
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,"Against creating a House panel to investigate Planned Parenthood, he was the only Republican to vote.","(66, 68)","(8, 64)",,"(0, 7)",,,,,"(96, 100)"
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,"Ann Kirkpatrick, nearly 90 percent of the time, votes with her party.","(0, 15)",,"(54, 68)",,,,,"(17, 46)","(48, 53)"
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,"Nearly 90 percent of the time, Ann Kirkpatrick votes with her party.","(31, 46)",,"(53, 67)",,,,,"(0, 29)","(47, 52)"
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,"With her party nearly 90 percent of the time, Ann Kirkpatrick votes.","(46, 61)",,"(0, 14)",,,,,"(15, 44)","(62, 67)"
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,"Nearly 90 percent of the time, Ann Kirkpatrick votes with her party.","(31, 46)",,"(53, 67)",,,,,"(0, 29)","(47, 52)"
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,"Nearly 90 percent of the time, with her party, Ann Kirkpatrick votes.","(47, 62)",,"(31, 45)",,,,,"(0, 29)","(63, 68)"
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .","Bernie Sanders, to protect the Minutemen, a hate group that used military tactics against our community, voted with Republicans.","(0, 14)","(16, 40)","(111, 127)",,,,,,"(105, 110)"
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .","To protect the Minutemen, Bernie Sanders voted with Republicans, a hate group that used military tactics against our community.","(26, 40)","(0, 24)","(47, 63)",,,,,,"(41, 46)"
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .","To protect the Minutemen, Bernie Sanders sided with Republicans, voting for a hate group that used military tactics against our community.","(26, 40)","(0, 24)","(47, 63)",,,,,,"(65, 71)"
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .","With Republicans, Bernie Sanders voted to protect the Minutemen, a hate group that used military tactics against our community.","(18, 32)","(39, 63)","(0, 16)",,,,,,"(33, 38)"
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .","With Republicans to protect the Minutemen, Bernie Sanders voted, a hate group that used military tactics against our community.","(43, 57)","(17, 41)","(0, 16)",,,,,,"(58, 63)"
"After taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks , Debbie Wasserman Schultz has voted to prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans .","To prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans, Debbie Wasserman Schultz has voted after taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks.","(132, 156)","(0, 130)",,,,,,,"(161, 166)"
Debbie Wasserman Schultz voted repeatedly to send terminally ill patients to prison .,"To send terminally ill patients to prison, Debbie Wasserman Schultz voted repeatedly.","(43, 67)","(0, 41)",,,,,,,"(68, 73)"
Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee .,"To create the Benghazi committee, Patrick Murphy is one of only three Democrats in the House today who voted.","(99, 102)","(0, 32)",,,,,,,"(103, 108)"
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,"Renee Ellmers, an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, was the only Republican she voted against.","(0, 13)","(15, 104)",,"(140, 147)",,,,,"(134, 139)"
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,"An amendment to prioritize the deportation of sexual criminals who are illegal immigrants was voted against by Renee Ellmers, who was the only Republican.","(111, 124)","(0, 89)",,"(100, 107)",,,,,"(94, 99)"
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,An amendment to prioritize the deportation of sexual criminals who are illegal immigrants was voted against by Renee Ellmers.,"(111, 124)","(0, 89)",,"(100, 107)",,,,,"(94, 99)"
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,"Against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, Renee Ellmers was the only Republican to vote.","(99, 112)","(8, 97)",,"(0, 7)",,,,,"(140, 144)"
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,"Against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants, Renee Ellmers was the only Republican to vote.","(99, 112)","(8, 97)",,"(0, 7)",,,,,"(140, 144)"
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .","He voted against the Dream Act after telling dreamers that he'll support it, Sen. John McCain.","(0, 2)","(73, 75)",,"(9, 16)",,,,,"(3, 8)"
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .","The Dream Act, Sen. John McCain voted against it after telling dreamers that he'll support it.","(1, 3)","(46, 48)",,"(38, 45)",,,,,"(32, 37)"
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .","The Dream Act, he voted against it, after telling dreamers that he 'll support it, Sen. John McCain.","(1, 3)","(32, 34)",,"(24, 31)",,,,,"(18, 23)"
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .","Against the Dream Act, Sen. John McCain told dreamers that he'll support it, then he voted against it.","(9, 11)","(73, 75)",,"(0, 7)",,,,,"(85, 90)"
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .","Against the Dream Act, Sen. John McCain told dreamers that he'll support it, then he voted against it.","(9, 11)","(73, 75)",,"(0, 7)",,,,,"(85, 90)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Congressman Joe Heck has voted on a variety of important issues with Nancy Pelosi and the Democrats 62 percent of the time.,"(0, 20)","(31, 63)","(64, 99)",,,,,"(100, 122)","(25, 30)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Congressman Joe Heck has voted on a variety of important issues 62 percent of the time with Nancy Pelosi and the Democrats.,"(0, 20)","(31, 63)","(87, 122)",,,,,"(64, 86)","(25, 30)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.,"(0, 20)","(67, 99)","(31, 66)",,,,,"(100, 122)","(25, 30)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.,"(0, 20)","(67, 99)","(31, 66)",,,,,"(100, 122)","(25, 30)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Congressman Joe Heck has voted with Nancy Pelosi and the Democrats on a variety of important issues 62 percent of the time.,"(0, 20)","(67, 99)","(31, 66)",,,,,"(100, 122)","(25, 30)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats.","(34, 54)","(0, 32)","(88, 123)",,,,,"(65, 87)","(59, 64)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats.","(34, 54)","(0, 32)","(88, 123)",,,,,"(65, 87)","(59, 64)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"On a variety of important issues, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time. ","(71, 91)","(0, 32)","(34, 69)",,,,,"(102, 124)","(96, 101)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"On a variety of important issues, with Nancy Pelosi and the Democrats, Congressman Joe Heck has voted 62 percent of the time.","(71, 91)","(0, 32)","(34, 69)",,,,,"(102, 124)","(96, 101)"
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,"On a variety of important issues, Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats.","(34, 54)","(0, 32)","(88, 123)",,,,,"(65, 87)","(59, 64)"
